Observed_Habitat,species,Typical_Habitat
woodland,Nebria brevicollis,Woodland/Grassland
woodland,Loricera pilicornis,Woodland/Grassland
woodland,Abax parallelepipedus,Woodland
woodland,Pterostichus madidus,Woodland/Grassland
woodland,Platynus assimilis,Woodland
woodland,Pterostichus nigrita,Woodland/Grassland
woodland,Pterostichus strenuus,Woodland/Grassland
woodland,Bembidion mannerheimii,Grassland
grassland,Abax parallelepipedus,Woodland
grassland,Pterostichus madidus,Woodland/Grassland
grassland,Nebria brevicollis,Woodland/Grassland
grassland,Loricera pilicornis,Woodland/Grassland
grassland,Platynus assimilis,Woodland
grassland,Poecilus versicolor,Grassland
grassland,Clivina fossor,Grassland
grassland,Pterostichus anthracinus,Marsh/Fen
grassland,Pterostichus nigrita,Woodland/Grassland
grassland,Agonum muelleri,Grassland
grassland,Pterostichus strenuus,Woodland/Grassland
grassland,Bembidion biguttatum,Grassland
grassland,Bembidion guttula,Woodland/Grassland
grassland,Bembidion lampros,Woodland/Grassland
grassland,Agonum emarginatum,Marsh/Fen
grassland,Agonum viduum,Marsh/Fen
